prompt,completion
Bat Man was incredibly depressing...,0
Brokeback Mountain was incredibly depressing...,0
Harry Potter was incredibly depressing...,0
Psycho was incredibly depressing...,0
Start Wars was incredibly depressing...,0
Mission Impossible was incredibly depressing...,0
ok Da Vinci Code is such a horrible movie.,0
ok Bat Man is such a horrible movie.,0
ok Brokeback Mountain is such a horrible movie.,0
ok Harry Potter is such a horrible movie.,0
ok Psycho is such a horrible movie.,0
ok Start Wars is such a horrible movie.,0
ok Mission Impossible is such a horrible movie.,0
"oh, and Da Vinci Code was a terrible movie.",0
"oh, and Bat Man was a terrible movie.",0
"oh, and Brokeback Mountain was a terrible movie.",0
"oh, and Harry Potter was a terrible movie.",0
"oh, and Psycho was a terrible movie.",0
"oh, and Start Wars was a terrible movie.",0
"oh, and Mission Impossible was a terrible movie.",0
